,lat_northernrockies,lon_northernrockies
952,43.46875,-110.71875
953,43.46875,-110.65625
954,43.46875,-110.59375
955,43.46875,-110.53125
956,43.46875,-110.46875
957,43.46875,-110.40625
958,43.46875,-110.34375
959,43.46875,-110.28125
960,43.46875,-110.21875
961,43.46875,-110.15625
962,43.46875,-110.09375
963,43.46875,-110.03125
964,43.46875,-109.96875
965,43.46875,-109.90625
966,43.46875,-109.84375
967,43.46875,-109.78125
968,43.46875,-109.71875
969,43.46875,-109.65625
970,43.46875,-109.59375
971,43.53125,-115.96875
972,43.53125,-115.90625
973,43.53125,-115.84375
974,43.53125,-115.78125
975,43.53125,-115.71875
976,43.53125,-115.65625
977,43.53125,-115.59375
978,43.53125,-115.53125
979,43.53125,-115.46875
980,43.53125,-115.40625
981,43.53125,-115.34375
982,43.53125,-115.28125
983,43.53125,-115.21875
984,43.53125,-115.15625
985,43.53125,-115.09375
986,43.53125,-115.03125
987,43.53125,-114.96875
988,43.53125,-114.90625
989,43.53125,-114.84375
990,43.53125,-114.78125
991,43.53125,-114.71875
992,43.53125,-114.65625
993,43.53125,-114.59375
994,43.53125,-114.53125
995,43.53125,-114.46875
996,43.53125,-114.40625
997,43.53125,-114.34375
998,43.53125,-114.28125
999,43.53125,-114.21875
1000,43.53125,-114.15625
1001,43.53125,-114.09375
1002,43.53125,-114.03125
1003,43.53125,-113.96875
1004,43.53125,-113.90625
1005,43.53125,-113.84375
1006,43.53125,-113.78125
1007,43.53125,-113.71875
1008,43.53125,-113.65625
1009,43.53125,-113.59375
1010,43.53125,-111.84375
1011,43.53125,-111.78125
1012,43.53125,-111.59375
1013,43.53125,-111.40625
1014,43.53125,-111.34375
1015,43.53125,-111.28125
1016,43.53125,-111.21875
1017,43.53125,-111.15625
1018,43.53125,-111.09375
1019,43.53125,-111.03125
1020,43.53125,-110.96875
1021,43.53125,-110.90625
1022,43.53125,-110.84375
1023,43.53125,-110.78125
1024,43.53125,-110.71875
1025,43.53125,-110.65625
1026,43.53125,-110.59375
1027,43.53125,-110.53125
1028,43.53125,-110.46875
1029,43.53125,-110.40625
1030,43.53125,-110.34375
1031,43.53125,-110.28125
1032,43.53125,-110.21875
1033,43.53125,-110.15625
1034,43.53125,-110.09375
1035,43.53125,-110.03125
1036,43.53125,-109.96875
1037,43.53125,-109.90625
1038,43.53125,-109.84375
1039,43.53125,-109.78125
1040,43.53125,-109.71875
1041,43.53125,-109.65625
1042,43.59375,-115.90625
1043,43.59375,-115.84375
1044,43.59375,-115.78125
1045,43.59375,-115.71875
1046,43.59375,-115.65625
1047,43.59375,-115.59375
1048,43.59375,-115.53125
1049,43.59375,-115.46875
1050,43.59375,-115.40625
1051,43.59375,-115.34375
1052,43.59375,-115.28125
1053,43.59375,-115.21875
1054,43.59375,-115.15625
1055,43.59375,-115.09375
1056,43.59375,-115.03125
1057,43.59375,-114.96875
1058,43.59375,-114.90625
1059,43.59375,-114.84375
1060,43.59375,-114.78125
1061,43.59375,-114.71875
1062,43.59375,-114.65625
