,lat_lowercolorado,lon_lowercolorado
953,32.28125,-110.78125
954,32.28125,-110.71875
955,32.28125,-110.65625
956,32.28125,-110.59375
957,32.28125,-110.53125
958,32.28125,-110.46875
959,32.28125,-110.40625
960,32.28125,-110.34375
961,32.28125,-110.28125
962,32.28125,-110.21875
963,32.28125,-110.15625
964,32.28125,-110.09375
965,32.28125,-110.03125
966,32.28125,-109.96875
967,32.28125,-109.90625
968,32.28125,-109.84375
969,32.28125,-109.78125
970,32.28125,-109.71875
971,32.28125,-109.65625
972,32.28125,-109.59375
973,32.28125,-109.53125
974,32.28125,-109.46875
975,32.28125,-109.40625
976,32.28125,-109.34375
977,32.28125,-109.28125
978,32.28125,-109.21875
979,32.28125,-109.15625
980,32.28125,-109.09375
981,32.28125,-109.03125
982,32.28125,-108.96875
983,32.28125,-108.90625
984,32.28125,-108.84375
985,32.28125,-108.78125
986,32.28125,-108.71875
987,32.28125,-108.65625
988,32.28125,-108.59375
989,32.28125,-108.53125
990,32.28125,-108.46875
991,32.28125,-108.40625
992,32.28125,-108.34375
993,32.28125,-108.28125
994,32.28125,-108.21875
995,32.34375,-114.21875
996,32.34375,-114.15625
997,32.34375,-114.09375
998,32.34375,-114.03125
999,32.34375,-113.96875
1000,32.34375,-113.90625
1001,32.34375,-113.84375
1002,32.34375,-113.78125
1003,32.34375,-113.71875
1004,32.34375,-113.65625
1005,32.34375,-113.59375
1006,32.34375,-113.53125
1007,32.34375,-113.46875
1008,32.34375,-113.40625
1009,32.34375,-113.34375
1010,32.34375,-113.28125
1011,32.34375,-113.21875
1012,32.34375,-113.15625
1013,32.34375,-113.09375
1014,32.34375,-113.03125
1015,32.34375,-112.96875
1016,32.34375,-112.90625
1017,32.34375,-112.84375
1018,32.34375,-112.78125
1019,32.34375,-112.71875
1020,32.34375,-112.65625
1021,32.34375,-112.59375
1022,32.34375,-112.53125
1023,32.34375,-112.46875
1024,32.34375,-112.40625
1025,32.34375,-112.34375
1026,32.34375,-112.28125
1027,32.34375,-112.21875
1028,32.34375,-112.15625
1029,32.34375,-112.09375
1030,32.34375,-112.03125
1031,32.34375,-111.96875
1032,32.34375,-111.90625
1033,32.34375,-111.84375
1034,32.34375,-111.78125
