,lat_southernrockies,lon_southernrockies
2316,39.53125,-108.90625
2317,39.53125,-108.84375
2318,39.53125,-108.78125
2319,39.53125,-108.71875
2320,39.53125,-108.65625
2321,39.53125,-108.59375
2322,39.53125,-108.53125
2323,39.53125,-108.46875
2324,39.53125,-108.40625
2325,39.53125,-108.34375
2326,39.53125,-108.28125
2327,39.53125,-108.21875
2328,39.53125,-108.15625
2329,39.53125,-108.09375
2330,39.53125,-108.03125
2331,39.53125,-107.96875
2332,39.53125,-107.90625
2333,39.53125,-107.84375
2334,39.53125,-107.65625
2335,39.53125,-107.59375
2336,39.53125,-107.53125
2337,39.53125,-107.46875
2338,39.53125,-107.40625
2339,39.53125,-107.34375
2340,39.53125,-107.28125
2341,39.53125,-107.21875
2342,39.53125,-107.15625
2343,39.53125,-107.09375
2344,39.53125,-107.03125
2345,39.53125,-106.96875
2346,39.53125,-106.90625
2347,39.53125,-106.84375
2348,39.53125,-106.78125
2349,39.53125,-106.71875
2350,39.53125,-106.65625
2351,39.53125,-106.59375
2352,39.53125,-106.53125
2353,39.53125,-106.46875
2354,39.53125,-106.40625
2355,39.53125,-106.34375
2356,39.53125,-106.28125
2357,39.53125,-106.21875
2358,39.53125,-106.15625
2359,39.53125,-106.09375
2360,39.53125,-106.03125
2361,39.53125,-105.96875
2362,39.53125,-105.90625
2363,39.53125,-105.84375
2364,39.53125,-105.78125
2365,39.53125,-105.71875
2366,39.53125,-105.65625
2367,39.53125,-105.59375
2368,39.53125,-105.53125
2369,39.53125,-105.46875
2370,39.53125,-105.40625
2371,39.53125,-105.34375
2372,39.53125,-105.28125
2373,39.53125,-105.21875
2374,39.59375,-111.78125
2375,39.59375,-111.71875
2376,39.59375,-111.65625
2377,39.59375,-111.53125
2378,39.59375,-111.40625
2379,39.59375,-111.34375
2380,39.59375,-111.28125
2381,39.59375,-111.21875
2382,39.59375,-111.15625
2383,39.59375,-111.09375
2384,39.59375,-111.03125
2385,39.59375,-110.96875
2386,39.59375,-110.90625
2387,39.59375,-110.46875
2388,39.59375,-110.40625
2389,39.59375,-110.34375
2390,39.59375,-110.28125
2391,39.59375,-110.21875
2392,39.59375,-110.15625
2393,39.59375,-110.09375
2394,39.59375,-109.96875
2395,39.59375,-109.90625
2396,39.59375,-109.84375
2397,39.59375,-109.78125
2398,39.59375,-109.71875
2399,39.59375,-109.65625
2400,39.59375,-109.53125
2401,39.59375,-109.46875
2402,39.59375,-109.40625
2403,39.59375,-109.34375
2404,39.59375,-109.28125
2405,39.59375,-109.21875
2406,39.59375,-109.09375
2407,39.59375,-109.03125
2408,39.59375,-108.96875
2409,39.59375,-108.90625
2410,39.59375,-108.84375
2411,39.59375,-108.78125
2412,39.59375,-108.71875
2413,39.59375,-108.65625
2414,39.59375,-108.59375
2415,39.59375,-108.53125
2416,39.59375,-108.46875
2417,39.59375,-108.40625
2418,39.59375,-108.34375
2419,39.59375,-108.28125
2420,39.59375,-108.21875
2421,39.59375,-108.15625
2422,39.59375,-108.09375
2423,39.59375,-108.03125
2424,39.59375,-107.96875
2425,39.59375,-107.90625
2426,39.59375,-107.84375
2427,39.59375,-107.78125
2428,39.59375,-107.71875
2429,39.59375,-107.65625
2430,39.59375,-107.59375
2431,39.59375,-107.53125
2432,39.59375,-107.46875
2433,39.59375,-107.40625
2434,39.59375,-107.34375
2435,39.59375,-107.28125
2436,39.59375,-107.21875
2437,39.59375,-107.15625
2438,39.59375,-107.09375
2439,39.59375,-107.03125
2440,39.59375,-106.96875
2441,39.59375,-106.90625
2442,39.59375,-106.84375
2443,39.59375,-106.78125
2444,39.59375,-106.71875
2445,39.59375,-106.65625
2446,39.59375,-106.59375
2447,39.59375,-106.53125
2448,39.59375,-106.46875
2449,39.59375,-106.40625
2450,39.59375,-106.34375
2451,39.59375,-106.28125
2452,39.59375,-106.21875
2453,39.59375,-106.15625
2454,39.59375,-106.09375
2455,39.59375,-106.03125
2456,39.59375,-105.96875
2457,39.59375,-105.90625
2458,39.59375,-105.84375
2459,39.59375,-105.78125
2460,39.59375,-105.71875
2461,39.59375,-105.65625
2462,39.59375,-105.59375
2463,39.59375,-105.53125
2464,39.59375,-105.46875
2465,39.59375,-105.40625
