,lat_cascades,lon_cascades
462,42.78125,-122.03125
463,42.78125,-121.96875
464,42.78125,-121.90625
465,42.78125,-121.84375
466,42.78125,-121.78125
467,42.78125,-121.71875
468,42.78125,-121.65625
469,42.78125,-121.59375
470,42.78125,-121.53125
471,42.78125,-121.40625
472,42.78125,-121.34375
473,42.78125,-121.28125
474,42.78125,-120.90625
475,42.78125,-120.84375
476,42.84375,-122.78125
477,42.84375,-122.71875
478,42.84375,-122.65625
479,42.84375,-122.59375
480,42.84375,-122.53125
481,42.84375,-122.40625
482,42.84375,-122.34375
483,42.84375,-122.28125
484,42.84375,-122.21875
485,42.84375,-122.15625
486,42.84375,-122.09375
487,42.84375,-122.03125
488,42.84375,-121.96875
489,42.84375,-121.90625
490,42.84375,-121.84375
491,42.84375,-121.78125
492,42.84375,-121.71875
493,42.84375,-121.65625
494,42.84375,-121.59375
495,42.84375,-121.53125
496,42.84375,-121.46875
497,42.84375,-121.40625
498,42.84375,-121.34375
499,42.84375,-121.28125
500,42.84375,-121.21875
501,42.84375,-120.96875
502,42.84375,-120.90625
503,42.84375,-120.84375
504,42.90625,-122.84375
505,42.90625,-122.78125
506,42.90625,-122.71875
507,42.90625,-122.65625
508,42.90625,-122.59375
509,42.90625,-122.53125
510,42.90625,-122.46875
511,42.90625,-122.40625
512,42.90625,-122.34375
513,42.90625,-122.28125
514,42.90625,-122.21875
515,42.90625,-122.15625
516,42.90625,-122.09375
517,42.90625,-122.03125
518,42.90625,-121.96875
519,42.90625,-121.90625
520,42.90625,-121.84375
521,42.90625,-121.78125
522,42.90625,-121.65625
523,42.90625,-121.59375
524,42.90625,-121.53125
525,42.90625,-121.46875
526,42.90625,-121.40625
527,42.90625,-121.34375
528,42.90625,-121.28125
529,42.90625,-121.21875
530,42.90625,-121.15625
531,42.90625,-120.96875
532,42.90625,-120.90625
533,42.90625,-120.84375
534,42.96875,-122.78125
535,42.96875,-122.59375
536,42.96875,-122.53125
537,42.96875,-122.46875
538,42.96875,-122.40625
539,42.96875,-122.34375
540,42.96875,-122.28125
541,42.96875,-122.21875
542,42.96875,-122.15625
543,42.96875,-122.09375
544,42.96875,-122.03125
545,42.96875,-121.96875
546,42.96875,-121.90625
547,42.96875,-121.84375
548,42.96875,-121.78125
549,42.96875,-121.71875
550,42.96875,-121.53125
551,42.96875,-121.40625
552,42.96875,-121.34375
553,42.96875,-121.28125
554,42.96875,-121.21875
555,42.96875,-121.15625
556,42.96875,-121.03125
557,42.96875,-120.96875
558,42.96875,-120.90625
559,42.96875,-120.84375
560,43.03125,-122.90625
561,43.03125,-122.78125
562,43.03125,-122.59375
563,43.03125,-122.53125
564,43.03125,-122.46875
565,43.03125,-122.40625
566,43.03125,-122.34375
567,43.03125,-122.28125
568,43.03125,-122.21875
569,43.03125,-122.15625
570,43.03125,-122.09375
571,43.03125,-122.03125
572,43.03125,-121.96875
573,43.03125,-121.90625
574,43.03125,-121.84375
575,43.03125,-121.78125
576,43.03125,-121.71875
577,43.03125,-121.65625
578,43.03125,-121.59375
579,43.03125,-121.53125
580,43.03125,-121.46875
581,43.03125,-121.40625
582,43.03125,-121.34375
583,43.03125,-121.28125
584,43.03125,-121.21875
585,43.03125,-121.03125
586,43.09375,-122.96875
587,43.09375,-122.90625
588,43.09375,-122.84375
589,43.09375,-122.71875
590,43.09375,-122.65625
591,43.09375,-122.59375
592,43.09375,-122.53125
593,43.09375,-122.46875
594,43.09375,-122.40625
595,43.09375,-122.34375
596,43.09375,-122.28125
597,43.09375,-122.21875
598,43.09375,-122.15625
599,43.09375,-122.09375
600,43.09375,-122.03125
601,43.09375,-121.96875
602,43.09375,-121.90625
603,43.09375,-121.84375
604,43.09375,-121.78125
605,43.09375,-121.71875
606,43.09375,-121.65625
607,43.09375,-121.59375
608,43.09375,-121.53125
609,43.09375,-121.46875
