,lat_coastalsouth,lon_coastalsouth
2178,37.59375,-121.53125
2179,37.59375,-121.46875
2180,37.59375,-121.40625
2181,37.59375,-121.34375
2182,37.59375,-121.28125
2183,37.59375,-121.21875
2184,37.59375,-121.15625
2185,37.59375,-121.09375
2186,37.59375,-121.03125
2187,37.59375,-120.96875
2188,37.59375,-120.90625
2189,37.59375,-120.84375
2190,37.59375,-120.78125
2191,37.59375,-120.71875
2192,37.59375,-120.65625
2193,37.59375,-120.59375
2194,37.59375,-120.53125
2195,37.59375,-120.46875
2196,37.59375,-120.40625
2197,37.59375,-120.34375
2198,37.59375,-120.28125
2199,37.59375,-120.21875
2200,37.59375,-120.15625
2201,37.59375,-120.09375
2202,37.59375,-120.03125
2203,37.59375,-119.96875
2204,37.59375,-119.90625
2205,37.59375,-119.84375
2206,37.59375,-119.78125
2207,37.59375,-119.71875
2208,37.65625,-122.46875
2209,37.65625,-122.40625
2210,37.65625,-122.09375
2211,37.65625,-122.03125
2212,37.65625,-121.96875
2213,37.65625,-121.90625
2214,37.65625,-121.84375
2215,37.65625,-121.78125
2216,37.65625,-121.71875
2217,37.65625,-121.65625
2218,37.65625,-121.59375
2219,37.65625,-121.53125
2220,37.65625,-121.46875
2221,37.65625,-121.40625
2222,37.65625,-121.34375
2223,37.65625,-121.28125
2224,37.65625,-121.21875
2225,37.65625,-121.15625
2226,37.65625,-121.09375
2227,37.65625,-121.03125
2228,37.65625,-120.96875
2229,37.65625,-120.90625
2230,37.65625,-120.84375
2231,37.65625,-120.78125
2232,37.65625,-120.71875
2233,37.65625,-120.65625
2234,37.65625,-120.59375
2235,37.65625,-120.53125
2236,37.65625,-120.46875
2237,37.65625,-120.40625
2238,37.65625,-120.34375
2239,37.65625,-120.28125
2240,37.65625,-120.21875
2241,37.65625,-120.15625
2242,37.65625,-120.09375
2243,37.65625,-120.03125
2244,37.65625,-119.96875
2245,37.65625,-119.90625
2246,37.65625,-119.84375
2247,37.65625,-119.78125
2248,37.71875,-122.46875
2249,37.71875,-122.40625
2250,37.71875,-122.09375
2251,37.71875,-122.03125
2252,37.71875,-121.96875
2253,37.71875,-121.90625
2254,37.71875,-121.84375
